date,yhat_ridge,naive7
2023-01-01,10230.084702384396,
2023-01-02,9333.930548522676,
2023-01-03,8999.865593216793,
2023-01-04,8395.051353731771,
2023-01-05,8921.548894633786,
2023-01-06,8596.80194757285,
2023-01-07,9434.543977677517,
2023-01-08,10139.609865069975,
2023-01-09,9583.32653758175,
2023-01-10,9202.17682016168,
2023-01-11,8990.861602943085,
2023-01-12,8821.426399314601,
2023-01-13,8946.467862178939,
2023-01-14,8896.831432574723,
2023-01-15,9352.294782368106,
2023-01-16,9582.904821886961,
2023-01-17,9299.368913553568,
2023-01-18,9115.903023430572,
2023-01-19,8994.771775272824,
2023-01-20,8947.63397802737,
2023-01-21,8983.379957090936,
2023-01-22,9014.973144650736,
2023-01-23,9238.149101921637,
2023-01-24,9297.545650392702,
2023-01-25,9152.605204769752,
2023-01-26,9061.311890979523,
2023-01-27,8998.503483519118,
2023-01-28,8984.174755068554,
